S K T
Phone No: 9150366098


Purchase Summary Report
Dated: 2023-04-01-2024-03-31
Total Purchase: 8399332.66


Purchase No,Original Invoice No,Purchase Date,Party Name,Purchase Amount,Purchase link,Notes
638,"",19-01-2024,"JAIPUR TEXTILES , JAIPUR,",48481.0,https://mybillbook.in/i/11tzjq7,"CASH-23155
BANK-25326"
639,"",19-01-2024,"R S TEXTILES , AMBEDKAR NAGAR U.P",13940.0,https://mybillbook.in/i/soxays,"CASH-6800
BANK-7140"
640,"",22-01-2024,"VIVEK CAP AGENCY , Chennai",6900.0,https://mybillbook.in/i/14clkzn,""
641,"",23-01-2024,"BANKE BIHARI METAL WORKS ,Aligarh",13777.0,https://mybillbook.in/i/w5pnl3,""
642,"",23-01-2024,"JAIPUR TEXTILES , JAIPUR,",49446.0,https://mybillbook.in/i/w87wfc,"CASH-23616
BANK-25830"
643,"",23-01-2024,"SUBH LAKSHMI MARKETING , Chennai",1890.0,https://mybillbook.in/i/taxtg3,""
644,"",24-01-2024,"SHYAM TEXTILES , PALLIPALAYAM, ERODE",34250.0,https://mybillbook.in/i/13p5xq4,""
645,"",24-01-2024,"VIVEK CAP AGENCY , Chennai",18900.0,https://mybillbook.in/i/102j2tx,""
646,"",25-01-2024,"SHYAM TEXTILES , PALLIPALAYAM, ERODE",22500.0,https://mybillbook.in/i/tbfgb5,""
647,"",25-01-2024,"RAMDEV TRADING COMPANY , AHMEDABAD",28650.0,https://mybillbook.in/i/175xftj,"CASH-24240
BANK-4410"
648,"",25-01-2024,"RAMDEV TRADING COMPANY , AHMEDABAD",19710.0,https://mybillbook.in/i/147dq8b,"CASH- 14040
BANK-5670"
649,"",25-01-2024,"BANKE BIHARI METAL WORKS ,Aligarh",20300.0,https://mybillbook.in/i/yee2fz,""
650,"",26-01-2024,omega hankies,50376.0,https://mybillbook.in/i/10ms849,""
651,"",31-01-2024,"DEEPA TRADERS , Komarapalayam",9120.0,https://mybillbook.in/i/tom3yz,""
652,"",31-01-2024,"SHYAM TEXTILES , PALLIPALAYAM, ERODE",28000.0,https://mybillbook.in/i/15clxlf,""
653,"",31-01-2024,"EKTA FABRICS(KRISHNA) , AHMEDABAD",24952.0,https://mybillbook.in/i/119p19w,"cash-12172
bank-12780"
654,"",02-02-2024,"ASHOKAA. , Komarapalayam",16200.0,https://mybillbook.in/i/sm17r8,""
655,"",02-02-2024,"SHYAM TEXTILES , PALLIPALAYAM, ERODE",26850.0,https://mybillbook.in/i/14skxmi,""
656,"",03-02-2024,"BANKE BIHARI METAL WORKS ,Aligarh",19216.0,https://mybillbook.in/i/sb2h09,""
657,"",03-02-2024,"BANKE BIHARI METAL WORKS ,Aligarh",25051.0,https://mybillbook.in/i/xzdj74,""
658,"",09-02-2024,"SUBH LAKSHMI MARKETING , Chennai",3050.0,https://mybillbook.in/i/168ubvv,""
659,"",09-02-2024,"RAMDEV TRADING COMPANY , AHMEDABAD",27990.0,https://mybillbook.in/i/zy9497,cash- 22320 bank-5400
660,"",10-02-2024,"BANKE BIHARI METAL WORKS ,Aligarh",40314.0,https://mybillbook.in/i/122la2h,""
661,"",10-02-2024,"ASHOKAA. , Komarapalayam",16394.0,https://mybillbook.in/i/18l3w59,""
662,"",10-02-2024,"RAMDEV TRADING COMPANY , AHMEDABAD",29070.0,https://mybillbook.in/i/sbjqj8,"CASH-23400
BANK-5670"
663,"",10-02-2024,"RAMDEV TRADING COMPANY , AHMEDABAD",25950.0,https://mybillbook.in/i/10mzvpy,"CASH-20280
BANK-5670"
664,"",14-02-2024,"SUBH LAKSHMI MARKETING , Chennai",3000.0,https://mybillbook.in/i/16ndxct,""
665,"",14-02-2024,"BANKE BIHARI METAL WORKS ,Aligarh",44231.0,https://mybillbook.in/i/14cldki,""
666,"",14-02-2024,"SHYAM TEXTILES , PALLIPALAYAM, ERODE",96050.0,https://mybillbook.in/i/y064z0,""
667,"",15-02-2024,"VIVEK CAP AGENCY , Chennai",18600.0,https://mybillbook.in/i/xq21by,""
668,"",17-02-2024,"RSC TEXTILES , SOLAPUR-",23940.0,https://mybillbook.in/i/ua4cxz,""
669,"",17-02-2024,"EKTA FABRICS(KRISHNA) , AHMEDABAD",32537.0,https://mybillbook.in/i/128b5ec,"CASH-15876
BANK-16361"
670,"",19-02-2024,"ASHOKAA. , Komarapalayam",10368.0,https://mybillbook.in/i/10aukfe,""
671,"",19-02-2024,"SHYAM TEXTILES , PALLIPALAYAM, ERODE",34250.0,https://mybillbook.in/i/15due0e,""
672,"",21-02-2024,"SHYAM TEXTILES , PALLIPALAYAM, ERODE",21150.0,https://mybillbook.in/i/w73bjl,""
673,"",21-02-2024,"JAIPUR TEXTILES , JAIPUR,",50430.0,https://mybillbook.in/i/17jpqeh,cash- 24600 bank-25830
674,"",22-02-2024,"DEEPA TRADERS , Komarapalayam",11400.0,https://mybillbook.in/i/104vsxq,""
675,"",22-02-2024,"DEEPA TRADERS , Komarapalayam",9120.0,https://mybillbook.in/i/vnfs9h,""
676,"",22-02-2024,"K.L.M TEXTILES , Erode",40740.0,https://mybillbook.in/i/13mr6sb,""
677,"",23-02-2024,"BANKE BIHARI METAL WORKS ,Aligarh",23788.0,https://mybillbook.in/i/wg33yb,""
678,"",23-02-2024,"BANKE BIHARI METAL WORKS ,Aligarh",20596.0,https://mybillbook.in/i/18l04pv,""
679,"",23-02-2024,"RAMDEV TRADING COMPANY , AHMEDABAD",54942.0,https://mybillbook.in/i/14ssnos,"CASH-40200
BANK-14742"
680,"",13-03-2024,"BALAJI HOSIERY, Mysore",32813.0,https://mybillbook.in/i/118trwj,""
681,"",15-03-2024,"SHYAM TEXTILES , PALLIPALAYAM, ERODE",34375.0,https://mybillbook.in/i/17wnpgu,""
682,"",15-03-2024,"SHYAM TEXTILES , PALLIPALAYAM, ERODE",54125.0,https://mybillbook.in/i/14y8gg7,""
683,"",18-03-2024,"VIVEK CAP AGENCY , Chennai",12600.0,https://mybillbook.in/i/103wfyb,""
684,"",18-03-2024,"RAMDEV TRADING COMPANY , AHMEDABAD",89295.0,https://mybillbook.in/i/12t2875,"CASH-71340
BANK-17955"
685,"",18-03-2024,"SHYAM TEXTILES , PALLIPALAYAM, ERODE",63950.0,https://mybillbook.in/i/17z56fo,""
687,"",18-03-2024,"BANKE BIHARI METAL WORKS ,Aligarh",10534.0,https://mybillbook.in/i/11j68fr,""
686,"",20-03-2024,"HIRA MOTI MILLS , AHMEDABAD",31894.0,https://mybillbook.in/i/10rwk5y,""
688,"",21-03-2024,"BANKE BIHARI METAL WORKS ,Aligarh",18000.0,https://mybillbook.in/i/14962ph,""
689,"",21-03-2024,"SUBH LAKSHMI MARKETING , Chennai",2950.0,https://mybillbook.in/i/xpjpu2,""
690,"",21-03-2024,"BANKE BIHARI METAL WORKS ,Aligarh",36923.0,https://mybillbook.in/i/12xh9yf,""
691,"",23-03-2024,"BANKE BIHARI METAL WORKS ,Aligarh",84861.0,https://mybillbook.in/i/zwpg4c,""
692,"",23-03-2024,"SHYAM TEXTILES , PALLIPALAYAM, ERODE",24500.0,https://mybillbook.in/i/11gdlex,""
693,"",23-03-2024,"ASHOKAA. , Komarapalayam",13673.0,https://mybillbook.in/i/yofm6r,""
694,"",23-03-2024,"JAIPUR TEXTILES , JAIPUR,",30012.0,https://mybillbook.in/i/xfmqmi,"cash- 14514
bank-15498"
695,"",23-03-2024,"RAMDEV TRADING COMPANY , AHMEDABAD",36425.0,https://mybillbook.in/i/wnc5cf,"cash-25400
bank-11025"
696,"",27-03-2024,"MK DECORS , Chennai",5670.0,https://mybillbook.in/i/10xzhaj,""
697,"",27-03-2024,"R S TEXTILES , AMBEDKAR NAGAR U.P",31775.0,https://mybillbook.in/i/17cgl3v,"cash-15500
bank-16275"
698,"",29-03-2024,"SUMEET TEXILES , KARUR",15775.0,https://mybillbook.in/i/syv9xd,"cash-7695
bank-8080"
